Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-01-27,0.0315,0.03269,0.0286,0.02938,243828.4714,2025-02-02 23:59:59.999,7548.15666964,766814,124973.4864,3870.68185751,0
2025-02-03,0.02938,0.02949,0.02337,0.02724,537209.1732,2025-02-09 23:59:59.999,14766.77384589,1405444,281472.9765,7739.2557487,0
2025-02-10,0.02724,0.02855,0.02679,0.02768,140561.4147,2025-02-16 23:59:59.999,3874.83169957,435309,71680.4569,1976.8546207,0
2025-02-17,0.02769,0.02968,0.02728,0.02929,242689.8385,2025-02-23 23:59:59.999,6893.75787742,634485,118338.6013,3365.90833619,0
2025-02-24,0.02929,0.02944,0.02528,0.02672,540294.49,2025-03-02 23:59:59.999,14526.41010292,1368323,253524.0063,6824.78973814,0
2025-03-03,0.02671,0.02674,0.02424,0.02502,304433.6431,2025-03-09 23:59:59.999,7625.22176526,721943,145780.7732,3647.71194595,0
2025-03-10,0.02503,0.02596,0.0224,0.02286,293171.8823,2025-03-16 23:59:59.999,6878.83367467,681119,144423.9256,3389.34089889,0
2025-03-17,0.02285,0.02427,0.02272,0.02331,152577.7291,2025-03-23 23:59:59.999,3583.12052517,367272,79785.2442,1875.28506675,0
2025-03-24,0.02331,0.02406,0.02168,0.02194,155454.947,2025-03-30 23:59:59.999,3537.30428846,355737,70121.2553,1597.62504522,0
2025-03-31,0.02195,0.02261,0.0198,0.02016,203343.5654,2025-04-06 23:59:59.999,4397.59905626,522034,102171.5354,2213.29102784,0
2025-04-07,0.02015,0.0204,0.01855,0.01907,368579.9277,2025-04-13 23:59:59.999,7149.09765979,693935,187227.4476,3632.69140395,0
2025-04-14,0.01907,0.01992,0.01844,0.01863,133845.1091,2025-04-20 23:59:59.999,2545.03306302,338824,66103.923,1257.81471041,0
2025-04-21,0.01863,0.01951,0.01766,0.01911,224355.4277,2025-04-27 23:59:59.999,4223.84260104,561839,112890.5457,2124.74331803,0
